LOJA;ITEM ;Rede;STATUS 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 30L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 50L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BOBINA 20X30;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 30L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BOBINA 20X30;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 50L;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;ECONOMICO 50L;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;BOBINA 20X30;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;BOBINA 25X35;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;ECONOMICO 30L;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
12 - BAHAMAS MIX JF FABRICA.;BOBINA 30X40;BAHAMAS;ATIVO 
13 - MERCADO BAHAMAS JF POCO RICO.;BOBINA 20X30;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;ECONOMICO 30L;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;BOBINA 25X35;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;BOBINA 20X30;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;BOBINA 30X40;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;SACOLA 38X48 ;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;ECONOMICO 50L;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;SACOLA 29X39 ;BAHAMAS;ATIVO 
14 - BAHAMAS MIX CATAGUASES.;ECONOMICO 100L ;BAHAMAS;ATIVO 
15 - SUPERMERCADO BAHAMAS JF INDEPENDENCIA.;ECONOMICO 50L;BAHAMAS;ATIVO 
