LOJA;ITEM ;Rede;STATUS 
10 - SUPERMERCADO BAHAMAS VICOSA.;BOBINA 20X30;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BOBINA 25X35;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BOBINA 30X40;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 100L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 15L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 30L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;ECONOMICO 50L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;HIPERROLL 100L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;HIPERROLL 15L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;HIPERROLL 30L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;HIPERROLL 50L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;REFORCADO 100L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;REFORCADO 200L;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA 29X39;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA 38X48;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
10 - SUPERMERCADO BAHAMAS VICOSA.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BOBINA 20X30;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BOBINA 25X35;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BOBINA 30X40;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 100L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 15L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 30L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;ECONOMICO 50L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;HIPERROLL 100L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;HIPERROLL 15L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;HIPERROLL 30L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;HIPERROLL 50L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;REFORCADO 100L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;REFORCADO 200L;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;SACOLA 29X39;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;SACOLA 38X48;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
11 - SUPERMERCADO BAHAMAS PONTE NOVA.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
